Time,Encoder,Drag,Pitch,Roll,Heave
Seconds,Meters,Newtons,Degrees,Degrees,mm
0.0000,0.0000000000,0.1943031683,3.7550970693,0.4624114589,0.3896078883
0.0100,0.0000000000,0.3887468679,3.7842024186,0.3744693037,0.1394672155
0.0200,0.0000000000,-0.3346239938,3.7453952862,0.3158412000,-0.9361376530
0.0300,0.0000000000,-0.2671228131,3.7550970693,0.3744693037,0.5897204281
0.0400,0.0000000000,0.2346023807,3.7259917200,0.3549266025,-1.0612079840
0.0500,0.0000000000,-0.4263047019,3.7745006355,0.4819541600,-0.6609829230
0.0600,0.0000000000,-0.0394322633,3.7259917200,0.5405822632,-1.3613767760
0.0700,0.0000000000,0.0431811220,3.7647988524,0.6089817167,-0.0106171872
0.0800,0.0000000000,-0.6378755667,3.7745006355,0.5894390158,1.0399736477
0.0900,0.0000000000,-0.1895468293,3.7647988524,0.5601249643,-0.1356875222
0.1000,0.0000000000,0.0179941143,3.7842024186,0.4721828095,-0.3858281904
0.1100,0.0000000000,-0.2691377737,3.7647988524,0.3940120049,0.1144531483
0.1200,0.0000000000,-0.1260755699,3.7259917200,0.3451552519,-0.5609266569
0.1300,0.0000000000,0.0532559251,3.7453952862,0.3353839012,0.0394109469
0.1400,0.0000000000,-0.0041704525,3.7453952862,0.3646979531,-0.4608703905
0.1500,0.0000000000,0.1872508062,3.7162899369,0.4526401084,0.3896078883
0.1600,0.0000000000,0.1550114363,3.7162899369,0.5405822632,-0.0106171872
0.1700,0.0000000000,0.1358693104,3.7842024186,0.6187530672,-1.1612642484
0.1800,0.0000000000,0.1590413575,3.7647988524,0.6089817167,-0.2357437897
0.1900,0.0000000000,0.1519889954,3.7647988524,0.5405822632,-0.1356875222
0.2000,0.0000000000,0.3484476556,3.7453952862,0.5112682117,-0.2357437897
0.2100,0.0000000000,-0.2822350177,3.7550970693,0.4428687578,0.2895516189
0.2200,0.0000000000,0.1590413575,3.7259917200,0.3646979531,0.2395234843
0.2300,0.0000000000,0.2426622232,3.7647988524,0.3744693037,0.2895516189
0.2400,0.0000000000,-0.3749232061,3.8036059847,0.4526401084,-0.8610954542
0.2500,0.0000000000,0.4189712772,3.7356935031,0.4330974072,0.9399173761
0.2600,0.0000000000,0.5892354494,3.7453952862,0.4819541600,-0.5609266569
0.2700,0.0000000000,-0.0313724208,3.7842024186,0.5210395622,1.1400299197
0.2800,0.0000000000,0.1973256093,3.7550970693,0.5503536137,-0.3608141237
0.2900,0.0000000000,0.0230315158,3.7647988524,0.5405822632,0.4146219557
0.3000,0.0000000000,0.3222531675,3.7647988524,0.5308109127,0.3395797535
0.3100,0.0000000000,0.0451960826,3.7259917200,0.4428687578,-0.7610391888
0.3200,0.0000000000,-0.1240606092,3.7745006355,0.4526401084,0.5647063605
0.3300,0.0000000000,-0.3638409227,3.7842024186,0.4330974072,-1.1112361162
0.3400,0.0000000000,0.0905326965,3.7065881538,0.4037833555,0.8148470370
0.3500,0.0000000000,-0.1845094278,3.7647988524,0.4330974072,0.3395797535
0.3600,0.0000000000,0.2204976564,3.7842024186,0.4917255106,-0.0606453212
0.3700,0.0000000000,-0.0102153344,3.7647988524,0.5308109127,-0.1106734552
0.3800,0.0000000000,-0.3346239938,3.7939042016,0.5308109127,0.2145094171
0.3900,0.0000000000,-0.0364098224,3.7453952862,0.5405822632,-0.3858281904
0.4000,0.0000000000,-0.1210381683,3.7550970693,0.4917255106,-0.0356312542
0.4100,0.0000000000,0.3383728525,3.7647988524,0.4624114589,-0.6859969895
0.4200,0.0000000000,-0.1049184834,3.7745006355,0.4526401084,-1.5114611709
0.4300,0.0000000000,-0.2006291127,3.7647988524,0.4428687578,-0.1106734552
0.4400,0.0000000000,-0.1875318687,3.7356935031,0.4428687578,0.3896078883
0.4500,0.0000000000,-0.3255566710,3.7356935031,0.4624114589,-0.0606453212
0.4600,0.0000000000,0.3121783645,3.7453952862,0.4330974072,-0.8861095205
0.4700,0.0000000000,-0.1935767506,3.7647988524,0.4624114589,-0.3608141237
0.4800,0.0000000000,0.4139338756,3.8036059847,0.5405822632,0.0894390811
0.4900,0.0000000000,-0.1200306880,3.7356935031,0.5014968611,0.0894390811
0.5000,0.0000000000,0.0230315158,3.7259917200,0.4526401084,0.9899455119
0.5100,0.0000000000,-0.0414472239,3.7453952862,0.4721828095,-0.3107859902
0.5200,0.0000000000,-0.0908137591,3.7356935031,0.4721828095,-0.2607578566
0.5300,0.0000000000,-0.3366389544,3.7550970693,0.4428687578,-0.9361376530
0.5400,0.0000000000,-0.1381653336,3.7647988524,0.4526401084,-0.4108422571
0.5500,0.0000000000,-0.1351428926,3.7550970693,0.4721828095,-0.1106734552
0.5600,0.0000000000,-0.2046590339,3.7453952862,0.4330974072,0.4896641580
