Time,Encoder,Drag,Pitch,Roll,Heave
Seconds,Meters,Newtons,Degrees,Degrees,mm
0.0000,0.0011041611,9.2353644996,4.1722737374,0.4428687578,-487.4693124345
0.0100,0.0011041611,9.1205117444,4.2207826517,0.4428687578,-487.7944952506
0.0200,0.0011041611,8.7739385182,4.2013790860,0.5210395622,-488.1947202501
0.0300,0.0011041611,8.8928211947,4.2304844345,0.5698963148,-487.4442983715
0.0400,0.0011041611,9.0499881228,4.1819755203,0.5014968611,-486.7439046006
0.0500,0.0011041611,8.8494995414,4.1722737374,0.3744693037,-488.0446358759
0.0600,0.0011041611,9.1547660749,4.1431683888,0.3256125506,-488.1947202501
0.0700,0.0011041611,8.5825172596,4.2401862173,0.3940120049,-487.7194530626
0.0800,0.0011041611,8.8222975730,4.1528701717,0.3451552519,-488.6699874297
0.0900,0.0011041611,9.1336089885,4.2304844345,0.3940120049,-487.0941014882
0.1000,0.0011041611,9.1003621383,4.2110808688,0.4526401084,-488.1697061878
0.1100,0.0011041611,8.8958436356,4.1916773031,0.4917255106,-488.8700999240
0.1200,0.0011041611,8.8152452109,4.1819755203,0.5112682117,-487.9445796261
0.1300,0.0011041611,8.8464771005,4.1819755203,0.5014968611,-488.4948889960
0.1400,0.0011041611,8.9895393043,4.1819755203,0.5112682117,-487.6444108744
0.1500,0.0011041611,9.1658483583,4.2498880002,0.4526401084,-487.6694249372
0.1600,0.0011041611,9.2524916649,4.1819755203,0.4037833555,-487.6444108744
0.1700,0.0011041611,8.9391652889,4.2886951314,0.4135547061,-487.1691436778
0.1800,0.0011041611,8.8233050534,4.1528701717,0.3451552519,-488.6950014915
0.1900,0.0011041611,9.1557735553,4.1916773031,0.3451552519,-487.0690874249
0.2000,0.0011041611,8.8817389113,4.1722737374,0.4135547061,-488.0696499384
0.2100,0.0011041611,9.1698782796,4.2304844345,0.4526401084,-487.7194530626
0.2200,0.0011041611,8.8948361553,4.2304844345,0.4917255106,-488.6199593059
0.2300,0.0011041611,8.8404322186,4.2692915658,0.5405822632,-487.5943827488
0.2400,0.0011041611,9.3008507197,4.2401862173,0.5308109127,-488.2197343124
0.2500,0.0011041611,9.2011101691,4.1916773031,0.4819541600,-487.5693686860
0.2600,0.0011041611,9.1547660749,4.1625719545,0.3549266025,-487.6193968116
0.2700,0.0011041611,8.6127416688,4.2207826517,0.3940120049,-487.7194530626
0.2800,0.0011041611,8.7255794634,4.1916773031,0.3549266025,-487.2191718042
0.2900,0.0011041611,9.1023770989,4.2207826517,0.4135547061,-487.4693124345
0.3000,0.0011041611,9.0671152881,4.1916773031,0.4330974072,-487.8195093133
0.3100,0.0011041611,9.5920125290,4.2789933486,0.5014968611,-488.0196218135
