Time,Encoder,Drag,Pitch,Roll,Heave
Seconds,Meters,Newtons,Degrees,Degrees,mm
0.0000,0.0000000000,0.1959009025,4.2110808688,0.4428687578,0.0369236867
0.0100,0.0000000000,-0.0801487021,4.2207826517,0.4037833555,0.0369236867
0.0200,0.0000000000,0.0357115334,4.1722737374,0.4037833555,-0.4633575613
0.0300,0.0000000000,0.4306438144,4.2498880002,0.4135547061,-0.0881466261
0.0400,0.0000000000,-0.2191809848,4.2207826517,0.4526401084,-0.5383997477
0.0500,0.0000000000,-0.0972758674,4.2401862173,0.4624114589,-0.3132731878
0.0600,0.0000000000,-0.0156699624,4.1916773031,0.4428687578,0.1619940001
0.0700,0.0000000000,-0.0922384658,4.1916773031,0.4526401084,-0.4133294369
0.0800,0.0000000000,-0.0348120882,4.2013790860,0.4624114589,-0.3633013124
0.0900,0.0000000000,-0.0872010643,4.2401862173,0.4721828095,-0.1631888135
0.1000,0.0000000000,-0.1204479145,4.2498880002,0.5014968611,0.9874580819
0.1100,0.0000000000,-0.1677994890,4.2207826517,0.4233260567,1.0875143359
0.1200,0.0000000000,-0.1436199616,4.2013790860,0.4233260567,-0.5884278719
0.1300,0.0000000000,0.2029532646,4.2207826517,0.4037833555,0.7873455751
0.1400,0.0000000000,-0.1859341346,4.2207826517,0.3940120049,0.0619377494
0.1500,0.0000000000,-0.2886971261,4.1916773031,0.3940120049,0.0869518120
0.1600,0.0000000000,0.1425044461,4.2401862173,0.4428687578,-0.4633575613
0.1700,0.0000000000,0.0488087774,4.1916773031,0.4135547061,0.2870643140
0.1800,0.0000000000,0.3762398777,4.1819755203,0.4233260567,0.3120783769
0.1900,0.0000000000,-0.2302632681,4.2207826517,0.4624114589,0.4871768174
0.2000,0.0000000000,-0.3007868898,4.2304844345,0.4721828095,-1.2888216014
0.2100,0.0000000000,-0.5184026365,4.2401862173,0.4917255106,-0.5133856856
0.2200,0.0000000000,-0.2816447639,4.2207826517,0.4917255106,-1.0136669240
0.2300,0.0000000000,0.3198209804,4.2207826517,0.4526401084,-0.0381185010
0.2400,0.0000000000,0.3298957835,4.2013790860,0.3744693037,-0.1131606886
0.2500,0.0000000000,-0.2504128743,4.1916773031,0.3842406543,0.1369799374
0.2600,0.0000000000,-0.2181735044,4.2207826517,0.4135547061,0.0369236867
0.2700,0.0000000000,-0.1083581508,4.2207826517,0.4428687578,0.0869518120
0.2800,0.0000000000,0.3178060198,4.2207826517,0.4135547061,0.3370924397
0.2900,0.0000000000,-0.2504128743,4.2207826517,0.3842406543,0.2370361884
0.3000,0.0000000000,0.0427638955,4.2304844345,0.3646979531,0.3621065026
0.3100,0.0000000000,0.1606390917,4.2110808688,0.4233260567,0.0619377494
0.3200,0.0000000000,-0.1275002767,4.2207826517,0.4330974072,-0.4633575613
0.3300,0.0000000000,0.0901154700,4.1916773031,0.4624114589,-0.1381747511
0.3400,0.0000000000,0.3994119248,4.1916773031,0.4819541600,0.1870080628
0.3500,0.0000000000,0.1153024778,4.2401862173,0.4917255106,0.4871768174
0.3600,0.0000000000,-0.5133652349,4.2110808688,0.4819541600,-0.1381747511
0.3700,0.0000000000,-0.2564577562,4.1819755203,0.4330974072,-0.8385684915
0.3800,0.0000000000,-0.0730963400,4.1819755203,0.3646979531,0.2870643140
0.3900,0.0000000000,0.0901154700,4.1819755203,0.3646979531,0.3370924397
0.4000,0.0000000000,0.0387339743,4.1722737374,0.2865271481,0.2870643140
0.4100,0.0000000000,0.2291477527,4.2207826517,0.4037833555,-0.2132169384
0.4200,0.0000000000,-0.4901931878,4.1819755203,0.4135547061,0.8373737017
0.4300,0.0000000000,-0.0992908280,4.1916773031,0.4917255106,0.3871205655
0.4400,0.0000000000,-0.2373156303,4.1916773031,0.4721828095,0.8373737017
0.4500,0.0000000000,0.2492973588,4.2304844345,0.5112682117,-0.4633575613
0.4600,0.0000000000,0.1616465720,4.2401862173,0.4721828095,-1.4389059698
0.4700,0.0000000000,-0.0499242929,4.2110808688,0.5014968611,-0.7134981820
0.4800,0.0000000000,-0.0751113006,4.2013790860,0.4330974072,-0.8635825534
0.4900,0.0000000000,0.0145544469,4.2304844345,0.4233260567,0.0869518120
0.5000,0.0000000000,0.1747438160,4.2498880002,0.4037833555,-0.0131044385
0.5100,0.0000000000,0.0961603519,4.2110808688,0.3744693037,0.7873455751
0.5200,0.0000000000,-0.2181735044,4.2110808688,0.3451552519,-0.4383434991
0.5300,0.0000000000,-0.2403380712,4.1916773031,0.4037833555,0.3871205655
0.5400,0.0000000000,-0.1305227176,4.2304844345,0.4819541600,-0.6384559960
0.5500,0.0000000000,-0.0771262612,4.1625719545,0.4917255106,0.3120783769
0.5600,0.0000000000,0.2362001148,4.1916773031,0.4819541600,0.0369236867
0.5700,0.0000000000,-0.5889262581,4.2207826517,0.5014968611,0.4371486914
0.5800,0.0000000000,0.1042201944,4.2207826517,0.4330974072,0.2620502512
0.5900,0.0000000000,0.0417564152,4.2207826517,0.4233260567,-0.2882591255
0.6000,0.0000000000,0.0135469666,4.2207826517,0.3842406543,-1.0887091090
0.6100,0.0000000000,-0.3088467322,4.2401862173,0.4135547061,0.5121908804
0.6200,0.0000000000,-0.3551908264,4.2401862173,0.3940120049,-0.1631888135
0.6300,0.0000000000,0.0689583836,4.1819755203,0.4721828095,-0.2132169384
0.6400,0.0000000000,-0.1436199616,4.2013790860,0.4624114589,0.9874580819
0.6500,0.0000000000,0.0639209820,4.2013790860,0.4526401084,1.1125283994
0.6600,0.0000000000,0.2049682252,4.2110808688,0.4428687578,0.3621065026
0.6700,0.0000000000,0.0921304307,4.1625719545,0.4330974072,0.4371486914
0.6800,0.0000000000,-0.0539542141,4.2207826517,0.4330974072,0.4871768174
0.6900,0.0000000000,0.0367190137,4.1722737374,0.3940120049,0.1870080628
0.7000,0.0000000000,-0.3541833461,4.1916773031,0.3451552519,0.6872893222
0.7100,0.0000000000,0.4608682237,4.2110808688,0.4233260567,-0.4133294369
0.7200,0.0000000000,0.1364595643,4.2304844345,0.4233260567,-0.0131044385
0.7300,0.0000000000,0.4669131055,4.2207826517,0.4624114589,-0.6384559960
0.7400,0.0000000000,-0.0962683871,4.2110808688,0.4428687578,-0.6134419340
0.7500,0.0000000000,-0.3431010627,4.1722737374,0.4721828095,1.1625565266
0.7600,0.0000000000,0.0679509033,4.2013790860,0.4819541600,1.2876268448
0.7700,0.0000000000,0.0498162577,4.2110808688,0.4917255106,-1.0136669240
0.7800,0.0000000000,0.3994119248,4.2013790860,0.4233260567,-0.0631325636
0.7900,0.0000000000,-0.0156699624,4.2207826517,0.4233260567,0.4371486914
0.8000,0.0000000000,0.0719808245,4.2207826517,0.3842406543,0.3871205655
0.8100,0.0000000000,-0.1859341346,4.1819755203,0.3646979531,-0.9386247388
0.8200,0.0000000000,-0.2010463392,4.1916773031,0.3842406543,-1.0386809857
0.8300,0.0000000000,0.0095170453,4.1916773031,0.4428687578,1.5377674830
0.8400,0.0000000000,0.1354520839,4.2304844345,0.4819541600,0.5872330696
0.8500,0.0000000000,-0.1305227176,4.2207826517,0.4917255106,-0.9636388005
0.8600,0.0000000000,0.0840705882,4.1916773031,0.4624114589,0.1619940001
0.8700,0.0000000000,-0.1577246859,4.1819755203,0.4624114589,0.4621627544
0.8800,0.0000000000,-0.0670514581,4.2498880002,0.4428687578,-0.6134419340
0.8900,0.0000000000,-0.2091061817,4.1916773031,0.4526401084,1.4377112275
0.9000,0.0000000000,0.2714619256,4.2110808688,0.3842406543,-0.6134419340
0.9100,0.0000000000,0.1928784615,4.2013790860,0.4330974072,0.2120221256
0.9200,0.0000000000,-0.3954900388,4.2110808688,0.3940120049,0.3871205655
0.9300,0.0000000000,0.1203398793,4.2110808688,0.4428687578,-0.2382310007
0.9400,0.0000000000,0.0739957851,4.1819755203,0.4135547061,-0.5133856856
0.9500,0.0000000000,0.1888485403,4.2110808688,0.4721828095,-0.5133856856
0.9600,0.0000000000,0.0075020847,4.2401862173,0.4428687578,-0.6384559960
0.9700,0.0000000000,-0.7078089345,4.1916773031,0.4526401084,-0.5634138098
0.9800,0.0000000000,-0.3279888581,4.2207826517,0.4330974072,-0.3132731878
0.9900,0.0000000000,0.0760107457,4.2110808688,0.4624114589,0.2620502512
1.0000,0.0000000000,-0.1657845284,4.1916773031,0.3744693037,-0.3132731878
1.0100,0.0000000000,0.0629135017,4.1819755203,0.3940120049,1.0124721454
1.0200,0.0000000000,-0.2897046064,4.2498880002,0.3549266025,-0.2382310007
1.0300,0.0000000000,0.1435119264,4.1916773031,0.4135547061,-0.9636388005
1.0400,0.0000000000,0.1132875171,4.1916773031,0.4819541600,0.9374299551
1.0500,0.0000000000,-0.1819042133,4.1916773031,0.5112682117,-0.6884841200
1.0600,0.0000000000,0.1556016901,4.2304844345,0.4428687578,-0.1631888135
1.0700,0.0000000000,-0.0207073639,4.1916773031,0.4330974072,1.4377112275
1.0800,0.0000000000,-0.2604876774,4.2401862173,0.4330974072,-1.2137794169
1.0900,0.0000000000,0.1707138947,4.1916773031,0.4428687578,0.5121908804
1.1000,0.0000000000,-0.1960089376,4.1916773031,0.3842406543,0.4621627544
1.1100,0.0000000000,-0.0962683871,4.2110808688,0.4233260567,0.0119096241
1.1200,0.0000000000,0.0467938168,4.2110808688,0.4428687578,-0.4883716234
1.1300,0.0000000000,-0.0942534265,4.2110808688,0.4428687578,-0.4633575613
1.1400,0.0000000000,0.3611276731,4.2304844345,0.4721828095,0.1870080628
1.1500,0.0000000000,0.2795217681,4.2207826517,0.4721828095,0.2620502512
1.1600,0.0000000000,-0.0751113006,4.2207826517,0.5014968611,1.5877956109
1.1700,0.0000000000,0.0870930291,4.2110808688,0.4721828095,-0.2632450631
1.1800,0.0000000000,0.0427638955,4.2207826517,0.4721828095,0.5372049434
1.1900,0.0000000000,-0.2957494882,4.2110808688,0.4428687578,0.2370361884
1.2000,0.0000000000,-0.2101136620,4.1819755203,0.3646979531,-0.4883716234
1.2100,0.0000000000,0.5716910576,4.1916773031,0.3646979531,0.0619377494
1.2200,0.0000000000,-0.0207073639,4.2498880002,0.3549266025,-0.1131606886
1.2300,0.0000000000,0.0085095650,4.2207826517,0.3842406543,-0.4383434991
1.2400,0.0000000000,-0.0559691747,4.2013790860,0.4624114589,1.2375987175
1.2500,0.0000000000,0.0115320060,4.1722737374,0.4917255106,-0.8885966152
1.2600,0.0000000000,0.3661650747,4.2401862173,0.5503536137,-0.6884841200
1.2700,0.0000000000,0.0095170453,4.2304844345,0.4819541600,0.3871205655
1.2800,0.0000000000,0.1193323990,4.2304844345,0.4917255106,0.0119096241
1.2900,0.0000000000,-0.1446274419,4.2304844345,0.4428687578,0.0369236867
1.3000,0.0000000000,-0.0610065763,4.1722737374,0.3744693037,-0.6634700580
1.3100,0.0000000000,0.4810178299,4.2207826517,0.3256125506,0.4871768174
1.3200,0.0000000000,0.1888485403,4.2110808688,0.3353839012,-0.5884278719
1.3300,0.0000000000,-0.0519392535,4.1916773031,0.3744693037,-0.1131606886
1.3400,0.0000000000,-0.0620140566,4.1431683888,0.4135547061,-0.6134419340
1.3500,0.0000000000,0.0588835805,4.1334666059,0.4037833555,0.1119658747
1.3600,0.0000000000,-0.0086176002,4.2013790860,0.4624114589,-0.9386247388
1.3700,0.0000000000,0.2442599573,4.1916773031,0.4917255106,0.8874018283
1.3800,0.0000000000,0.0961603519,4.2013790860,0.5308109127,0.5622190065
1.3900,0.0000000000,0.3087386971,4.2401862173,0.5112682117,0.3120783769
1.4000,0.0000000000,0.0024646832,4.2498880002,0.4819541600,-0.9386247388
1.4100,0.0000000000,-0.1476498828,4.1334666059,0.3940120049,-0.0381185010
1.4200,0.0000000000,-0.1657845284,4.2304844345,0.4037833555,-0.1131606886
1.4300,0.0000000000,-0.0227223245,4.1916773031,0.3549266025,-0.1131606886
1.4400,0.0000000000,-0.2423530319,4.2110808688,0.3940120049,0.2120221256
1.4500,0.0000000000,-0.1254853160,4.1528701717,0.3549266025,-1.0386809857
1.4600,0.0000000000,0.0558611395,4.2304844345,0.5014968611,-1.1387372322
1.4700,0.0000000000,0.0014572029,4.2110808688,0.4917255106,-0.3132731878
1.4800,0.0000000000,0.1122800368,4.2013790860,0.5405822632,0.2870643140
1.4900,0.0000000000,0.0931379110,4.2207826517,0.5308109127,-0.3633013124
1.5000,0.0000000000,0.1908635009,4.1916773031,0.4526401084,-0.3883153746
1.5100,0.0000000000,0.0508237380,4.2110808688,0.4330974072,-0.5884278719
1.5200,0.0000000000,-0.3199290156,4.1916773031,0.3842406543,0.3120783769
1.5300,0.0000000000,-0.0761187809,4.1819755203,0.3549266025,1.1375424630
1.5400,0.0000000000,0.0931379110,4.2110808688,0.4037833555,0.2370361884
1.5500,0.0000000000,-0.4347817708,4.1722737374,0.3549266025,-0.3382872501
1.5600,0.0000000000,-0.0146624821,4.1916773031,0.4428687578,0.1870080628
1.5700,0.0000000000,-0.2927270473,4.2207826517,0.4526401084,-0.8385684915
1.5800,0.0000000000,0.1898560206,4.1819755203,0.5014968611,1.1125283994
1.5900,0.0000000000,-0.0408569701,4.2110808688,0.5112682117,0.2620502512
1.6000,0.0000000000,-0.0338046079,4.2207826517,0.5112682117,0.0869518120
1.6100,0.0000000000,-0.2987719291,4.2013790860,0.3940120049,-0.2132169384
